sigma_test,replica,v_score_standard,v_score_posenc
0.16615384615384615,5,0.00023722606651728893,0.00034544153859620365
0.16615384615384615,6,0.00016645422074570694,0.00019129588878829523
0.16615384615384615,7,0.00012997334281708838,0.00015738635871071207
0.16615384615384615,8,0.00034870622398638776,0.00040233728895019413
0.16615384615384615,9,0.00015710900168236532,0.0001401692959163799
0.1735897435897436,0,0.0005953452493847289,0.0005948380743355466
0.1735897435897436,1,0.0002619433398639488,0.0002805758664445029
0.1735897435897436,2,0.0002845957047485042,0.00023550642714053344
0.1735897435897436,3,0.0005877266410674157,0.00046811199053432243
0.1735897435897436,4,0.00036916053179951403,0.0004770950203375418
0.1735897435897436,5,0.0004987166536769281,0.0006559481667233746
0.1735897435897436,6,0.00020511745065020237,0.0003668233273067644
0.1735897435897436,7,0.003269998974163235,0.0042377138380603726
0.1735897435897436,8,0.00014122799767174026,0.0001980314129679614
0.1735897435897436,9,0.00014834295348128648,0.0001617344461539585
0.18102564102564103,0,8.94004518800347e-05,9.90383117105484e-05
0.18102564102564103,1,0.00017737360619235747,0.00018680660245486564
0.18102564102564103,2,0.0006429111196389561,0.0008194020112067902
0.18102564102564103,3,0.0004963075047554375,0.0004714718860182819
0.18102564102564103,4,0.0003339628724844417,0.00039047215128660423
0.18102564102564103,5,0.0003342010447593638,0.0003457292458529134
0.18102564102564103,6,0.00025003823164616005,0.0002957085289805764
0.18102564102564103,7,0.00024272712624986523,0.00018978212015529047
0.18102564102564103,8,0.0005406774970237283,0.0006994558245288264
0.18102564102564103,9,0.00024655886049496475,0.00037415749342226715
0.18846153846153846,0,0.0005895631353866152,0.0006092843148914458
0.18846153846153846,1,0.00024643425837774126,0.0003117026193139758
0.18846153846153846,2,0.0006698799438158171,0.0007347830878488095
0.18846153846153846,3,0.0003770422893884058,0.00044309720420357786
0.18846153846153846,4,0.0005109669421719869,0.00040770918377194565
0.18846153846153846,5,0.00029045084206395295,0.0002767861075040632
0.18846153846153846,6,0.0004917892378648529,0.0006980088290845946
0.18846153846153846,7,0.00020469122579725067,0.00023137618066698752
0.18846153846153846,8,0.00018773806824085384,0.00017865590970129967
0.18846153846153846,9,0.000532209905778031,0.0008035213305218216
0.1958974358974359,0,0.0002295147613586186,0.0009312109326595126
